year,budget,popularity,revenue,runtime,vote_average,vote_count,num_film,sum_budget,sum_revenue,sum_vote_count
1916,385907,3.232447,8394751,197,7.4,60,1,385907,8394751,60
1925,245000,0.785744,22000000,151,7,21,1,245000,22000000,21
1927,92620000,32.351527,650422,153,8,657,1,92620000,650422,657
1929,189500,1.3965245,2179000,104.5,6.3,32,2,379000,4358000,64
1930,3950000,8.484123,8000000,127,6.1,19,1,3950000,8000000,19
1932,4,1.199451,25,89,6.2,28,1,4,25,28
1933,319500,1.278059,2240500,77.5,5.6,32,2,639000,4481000,64
1934,325000,11.871424,4500000,105,7.7,275,1,325000,4500000,275
1935,609000,3.898498,3202000,101,7.4,59,1,609000,3202000,59
1936,600000.5,15.6223575,5618000,101,7.45,437,2,1200001,11236000,874
1937,744211.5,42.096336,92462743,92,7.65,962.5,2,1488423,184925486,1925
1938,1822368,1.955144,5716550.5,116,6,42.5,2,3644736,11433101,85
1939,2759000,42.88749733,147843808.7,156.3333333,7.666666667,951,3,8277000,443531426,2853
1940,1633600,20.0916044,36558400,109.8,6.94,503,5,8168000,182792000,2515
1941,1250000,7.70019,6000000,118,6.8,72,1,1250000,6000000,72
1942,868000,45.6905005,138954825,86,7.35,1413.5,2,1736000,277909650,2827
1944,2494000,0.5797475,6127500,110.5,6.5,6,2,4988000,12255000,12
1945,1227500,5.01958775,6783000,106.75,6.675,73.75,4,4910000,27132000,295
1946,3760000,19.62003833,17898041.33,148.6666667,7.266666667,418.6666667,3,11280000,53694124,1256
1947,1433333.333,4.493020667,2600000,111,6.866666667,51,3,4300000,7800000,153
1948,2233333.333,2.145478667,3989333.333,101,6.966666667,33.66666667,3,6700000,11968000,101
1949,1300000,6.193089,6600000,101.5,6.65,47,2,2600000,13200000,94
1950,3768785,1.726175,8000000,107,7.3,22,1,3768785,8000000,22
1951,4116666.667,8.154726333,16333333.33,134.3333333,7.166666667,120.6666667,3,12350000,49000000,362
1952,1817700,16.10376475,12800000,106.75,7.225,282,4,7270800,51200000,1128
1953,1802500,5.72293225,20000000,106.25,6.75,73.75,4,7210000,80000000,295
1954,3227500,17.30241375,13267960.25,145.25,7.25,350.75,4,12910000,53071841,1403
1955,600000,5.073031,3500000,112.5,7.35,107,2,1200000,7000000,214
1956,3166666.667,2.682735,11266666.67,103.3333333,6.266666667,44,3,9500000,33800000,132
1957,1675000,41.1845815,17150000,128.5,7.95,1310,2,3350000,34300000,2620
1958,3000000,16.553594,17570324,108,7.6,165,1,3000000,17570324,165
1959,3794616,14.47564867,16666666.67,136.6666667,6.933333333,287.3333333,3,11383848,50000000,862
1960,2268982.667,40.897375,22466666.67,126.6666667,7.866666667,948,3,6806948,67400000,2844
1961,3580000,12.1418834,14891364.4,146.4,7.26,176.2,5,17900000,74456822,881
1962,4744571.429,24.27959086,30010747.29,141.5714286,7,482,7,33212000,210075231,3374
1963,8712625,14.8810325,35730404.5,150.125,6.7875,241.75,8,69701000,285843236,1934
1964,5298000,22.9899983,34701446,121.2,7.22,514.2,10,52980000,347014460,5142
1965,6100000,13.12049588,69344564.13,131.5,6.9,264.375,8,48800000,554756513,2115
1966,2162966.667,21.25003583,9891666.667,122.3333333,6.733333333,463.6666667,6,12977800,59350000,2782
1967,3875000,10.739634,31948084.5,107,6.825,180,4,15500000,127792338,720
1968,4201900,22.7486714,18755447.7,124.8,6.86,607.6,10,42019000,187554477,6076
1969,5444408.7,10.6004844,31438585.4,126.8,6.6,186.2,10,54444087,314385854,1862
1970,8570162.167,7.051651583,20668065.75,129.1666667,6.65,105.3333333,12,102841946,248016789,1264
1971,3217700,11.9229006,29624179.8,108.3,6.64,255.9,10,32177000,296241798,2559
1972,1579111.111,26.54090989,32375855.67,116.5555556,7.033333333,809,9,14212000,291382701,7281
1973,3957309.222,21.16455389,106621070.2,109.4444444,7,509.6666667,9,35615783,959589632,4587
1974,3885625,31.5110725,48270896.75,113.875,7.15,798.75,8,31085000,386167174,6390
