title,top_1_name,top_2_name,top_3_name,top_4_name,top_5_name,top_1_score,top_2_score,top_3_score,top_4_score,top_5_score
Avatar,The Matrix,The Inhabited Island,Tears of the Sun,Hanna,The Adventures of Pluto Nash,0.13230802328648197,0.12392479429062336,0.1224277405585007,0.1046778345760018,0.100909861200059
Pirates of the Caribbean: At World's End,Just Like Heaven,Bathory: Countess of Blood,Menace II Society,Captain America: The Winter Soldier,"Big Mommas: Like Father, Like Son",0.09367265839850308,0.08929832267899511,0.07848344597333759,0.0700282356935905,0.06956617194504525
Spectre,Never Say Never Again,From Russia with Love,Thunderball,Quantum of Solace,Dr. No,0.2569984243779029,0.19887815633589856,0.18916464239840525,0.1650568635998266,0.14402072001035046
The Dark Knight Rises,The Dark Knight,Batman Forever,Batman Returns,Batman,"Batman: The Dark Knight Returns, Part 2",0.30134401192143806,0.29849850514739457,0.28784156221362933,0.26445829972812623,0.1854358528917569
John Carter,Get Carter,The Marine 4: Moving Target,Desperado,Rescue Dawn,Rush Hour 2,0.20496164708686676,0.1636726965991704,0.11884119264216292,0.11236549737193448,0.09078304624195313
Spider-Man 3,Spider-Man,Spider-Man 2,The Amazing Spider-Man,The Amazing Spider-Man 2,Bronson,0.28267438218417273,0.24645758366083065,0.22280242681528833,0.2114066053005051,0.10120785745496719
Tangled,The Thief and the Cobbler,Despicable Me 2,Last Action Hero,Rodeo Girl,Against the Wild,0.07168858074461107,0.06382299413817916,0.05888279720340904,0.05735657912871879,0.056222015283615465
Avengers: Age of Ultron,The Avengers,Iron Man 2,Iron Man,Captain America: Civil War,Knight and Day,0.14637360559445659,0.13146474839096353,0.12607147108196604,0.12113775632413917,0.10451033289231612
Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Chamber of Secrets,The Little Prince,0.34329234056580316,0.29970123238079655,0.1773630537777205,0.1605344770318291,0.1412590742254846
Batman v Superman: Dawn of Justice,Batman Returns,The Dark Knight Rises,Defendor,Batman,The Dark Knight,0.1419813162716551,0.13372413643238917,0.12968846154140157,0.12657130135062541,0.11855222481880592
Superman Returns,Superman IV: The Quest for Peace,Superman II,Superman,Superman III,Max Keeble's Big Move,0.32204765901329924,0.30390980726793093,0.21835554484779823,0.11547516863707184,0.0894066905085105
Quantum of Solace,Never Say Never Again,Spectre,Diamonds Are Forever,From Russia with Love,Casino Royale,0.20998168570635709,0.1650568635998266,0.15516890354490576,0.1484312499869714,0.14351530749961397
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: On Stranger Tides,Highway,Ladder 49,Indiana Jones and the Last Crusade,0.15136453019890175,0.15122881110064115,0.11145596635037548,0.10680087766940422,0.09888346649342553
The Lone Ranger,The Legend of the Lone Ranger,Torque,Butch Cassidy and the Sundance Kid,Hit & Run,Triple 9,0.2087272247041282,0.14810877566861808,0.12667422821100505,0.09194733432163307,0.08819009882478668
Man of Steel,The Chronicles of Riddick,Prometheus,Titan A.E.,Midnight Special,The NeverEnding Story,0.18914123580904657,0.16373236407585762,0.1518893767898704,0.13689626801375016,0.12897181381748146
The Chronicles of Narnia: Prince Caspian,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Chronicles of Narnia: The Voyage of the Dawn Treader,Epic Movie,The Book of Life,The Lion King,0.34146129035182154,0.17907919007652806,0.13350727376030344,0.09182871267415517,0.08722736492360528
The Avengers,Avengers: Age of Ultron,Plastic,Timecop,This Thing of Ours,The Corruptor,0.14637360559445659,0.12278979408452781,0.11038394284566522,0.10752787544940773,0.09759195061907902
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: The Curse of the Black Pearl,Pan,Highway,Pirates of the Caribbean: Dead Man's Chest,Patriot Games,0.18464708697416415,0.1605517517941133,0.15197892572042432,0.15122881110064115,0.1442921941317633
Men in Black 3,Timecop,The Book of Eli,Meet Dave,Rush Hour 2,Alex Cross,0.12232834701055331,0.11679116574603435,0.11405430696795137,0.10588168329810538,0.10549353065126565
The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,Dragon Nest: Warriors' Dawn,Men in Black,Harry Potter and the Order of the Phoenix,0.2963627814920095,0.23625032281653774,0.14187936569999815,0.08960456716908378,0.08943478156070378
The Amazing Spider-Man,The Amazing Spider-Man 2,Spider-Man,Spider-Man 3,Spider-Man 2,Hook,0.29144512180831506,0.22304331002342448,0.22280242681528833,0.18751191771022616,0.18739976825881163
Robin Hood,Robin Hood: Prince of Thieves,Robin and Marian,The Assassination of Jesse James by the Coward Robert Ford,The Edge,Enemy of the State,0.18267392645901226,0.153037564315463,0.09878644993178222,0.094013575819379,0.08581299468399584
The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,How to Train Your Dragon 2,0.39921590173031984,0.2963627814920095,0.1809395533482822,0.10553117064770633,0.09664940854468801
The Golden Compass,Pan,The Jungle Book 2,City of Angels,The Legend of Hercules,Space Jam,0.08004199274110757,0.07549213862318395,0.07277300250500657,0.056900057928795364,0.05627742724100178
King Kong,Meet Dave,Morning Glory,Star Trek Beyond,Mud,Master and Commander: The Far Side of the World,0.17630853869759394,0.11432549246100578,0.11042240370558971,0.10722939664886279,0.1014255708265695
Titanic,Raise the Titanic,Ghost Ship,I Can Do Bad All By Myself,Niagara,The Rose,0.14199671178809384,0.10607980338695414,0.0982106204433319,0.09310625592311418,0.08777850730669773
Captain America: Civil War,Captain America: The Winter Soldier,Avengers: Age of Ultron,U-571,This Means War,Star Trek: Insurrection,0.14799568358109466,0.12113775632413917,0.09445747974240341,0.08921187648590276,0.08009576881170946
Battleship,Independence Daysaster,Titan A.E.,Krull,Star Trek IV: The Voyage Home,Impostor,0.1455723533641938,0.12993694124360722,0.1293595644785716,0.10732604755131109,0.09841786739058375
Jurassic World,The Lost World: Jurassic Park,Jurassic Park,National Lampoon's Vacation,The Nut Job,Black Knight,0.2394209580791818,0.1985846509625275,0.17408746611269915,0.13359765153606623,0.09171130666192194
Skyfall,Never Say Never Again,Spectre,Haywire,Dr. No,From Russia with Love,0.1940143288283974,0.13410252460542496,0.12641437828503937,0.12170406576875298,0.11042136146616979
Spider-Man 2,Spider-Man 3,Spider-Man,The Amazing Spider-Man,The Amazing Spider-Man 2,Superman,0.24645758366083065,0.20911701247958575,0.18751191771022616,0.16714161689276094,0.09820218148215051
Iron Man 3,Iron Man 2,Cradle 2 the Grave,Iron Man,Dead Man Down,The Siege,0.1635107455513176,0.15230460506961715,0.15088869151876816,0.1294043203797433,0.11841065893997203
Alice in Wonderland,Alice Through the Looking Glass,The Hole,Spirited Away,Resident Evil: Afterlife,The Christmas Bunny,0.1693142034029017,0.11811335091133604,0.11321681580396861,0.11302291710213898,0.09616119538883688
X-Men: The Last Stand,X-Men: First Class,X2,Blood Ties,X-Men,The Monuments Men,0.24636453383104506,0.16845889796375824,0.12009976780413849,0.11098252551562325,0.10014443275179918
Monsters University,"Monsters, Inc.",Monster House,Bridge to Terabithia,Diary of a Wimpy Kid: Dog Days,Harriet the Spy,0.17361752091384197,0.09037491276431849,0.07691306497551248,0.06363635426915888,0.06311467130656945
Transformers: Revenge of the Fallen,Transformers,Transformers: Age of Extinction,Transformers: Dark of the Moon,Nowhere to Run,X-Men Origins: Wolverine,0.37124699870071753,0.1809936281920891,0.17976782987118103,0.09405608141515583,0.0812183744198577
Transformers: Age of Extinction,Transformers: Revenge of the Fallen,Transformers,The Matrix,Dawn of the Planet of the Apes,Avatar,0.1809936281920891,0.1611819661388285,0.08220705694504894,0.08030396131297624,0.07454344927023439
Oz: The Great and Powerful,Legends of Oz: Dorothy's Return,Shark Tale,Monte Carlo,Corpse Bride,Marmaduke,0.2406290108716296,0.11909059049499228,0.07906577237839094,0.07605907954620908,0.07548060289763309
The Amazing Spider-Man 2,The Amazing Spider-Man,Spider-Man,Spider-Man 3,Hook,Pan,0.29144512180831506,0.24284788982355934,0.2114066053005051,0.20542958943608844,0.1777257199337401
TRON: Legacy,Transformers,Nowhere to Run,Snakes on a Plane,Plastic,Stealth,0.14475694631513136,0.13684352224915608,0.11078871848461264,0.10457964634601588,0.09234714314152123
Cars 2,Cars,Old School,Central Intelligence,Hidalgo,Drive Hard,0.24489024517980892,0.19013236181533133,0.18049002390043445,0.12048042918157473,0.10129902824045472
